question	label
空腹78血糖算糖尿病吗？	0
减肥后糖尿病会好吗	3
母亲有糖尿病父亲没有遗传下一代吗	2
糖尿病会引起眼睛水肿吗	4
妊娠期糖尿病注意事项	2
糖尿病患者能用党参泡水喝吗	3
胆结石又有糖尿病怎么办	1
糖尿病心血管并发症怎么办	1
糖尿病引起骨髓炎怎么办	1
糖尿病人可以吃紫薯和南瓜吗	3
糖尿病人吃菠菜好吗	3
糖尿病肾病透析后全身皮肤骚痒，如何治疗	1
糖尿病会不会引起口渴	4
年轻人怎么预防糖尿病	4
糖尿病会不会引起头晕手不听使唤站不稳	4
孕妇得了糖尿病怎么办	1
2型糖尿病能吃车厘子吗	3
糖尿病人脚发凉是怎么回事	2
妊娠糖尿病能吃蛇果吗	3
糖尿病视网膜病为什么出现血管瘤	2
糖尿病容易引起皮肤瘙痒吗	4
糖尿病眼病如何控制饮食	3
肝腹水和糖尿病有关系吗	2
糖尿病人可以无痛人流	5
小儿糖尿病什么原因引起	2
餐后血糖10.5正常吗	0
什么是糖尿病的高危人群	2
肥胖型糖尿病怎么办	1
糖尿病会引起脚底痛是什么症状	4
空腹血糖5.6算是高吗	0
糖尿病的病人主食应该吃什么最好	3
妊娠糖尿病能不能吃玉米	3
糖尿病肌酐高能吃鸡蛋吗	3
糖尿病1型和2型有什么区别	2
为什么血糖高会酮症酸中毒	2
糖尿病人能输氨基酸扑液吗	5
糖尿病会使羊水变少吗	4
阿卡波糖胶囊能治疗糖尿病并发症吗	4
糖尿病人屁多的原因	2
餐后血糖12.3属于二型糖尿病吗	0
1型糖尿病和2型糖尿病哪个遗传	2
早上空腹血糖6.1正常吗	0
2型糖尿病可以吃什么蔬菜	3
糖尿病红槮能吃吗	3
糖尿病会引起勃起吗	4
糖尿病无力是什么原因	2
2型糖尿病能否吃苹果柚子等有甜味的水果	3
一天中血糖变化的特点是什么？	2
糖尿病为啥脚会烂	2
妊娠糖尿病会不可逆吗	5
糖尿病的分类	2
糖尿病人可以吃香菇吗	3
吃结核药会不会引起糖尿病	5
糖尿病肾病人便秘吃啥好	3
糖尿病会导致无精症吗	4
7岁儿童糖尿病能活多久	5
糖尿病人可以吃杂粮吗	3
苦瓜和桑叶泡茶喝糖尿病高血压病能喝吗	3
打生长激素针会患糖尿病吗	5
妊娠期糖尿病可以吃鲜虾米吗	3
苹果糖尿病人能吃吗	3
世界糖尿病日是什么时间	5
突然尿多是不是得了糖尿病	0
二型糖尿病可以吃木糖醇吗	3
1型糖尿病能吃什么蔬菜	3
妊娠糖尿病吃什么可以控制	3
糖尿病引发的妇科炎症和痔疮可以用什么药	1
糖尿病患者出现尿糖的主要原因	2
糖尿病为什么叫不死癌症	2
糖尿病能引起胃癌吗	4
百乐眠胶囊糖尿病人能服用么	1
糖尿病引起的心衰竭能治好吗	1
虫草对糖尿病有好处吗	3
Ⅱ型糖尿病严重吗	2
糖尿病为什么胃不会饱	2
打胰岛素就是糖尿病吗	5
高血压糖尿病能吃海鲜	3
糖尿病三多一少指什么	2
血糖仪的使用方法	5
糖尿病患者为什么出现白内障	2
糖尿病引起肝损伤怎么办	1
